"node_id","node_label","category","community","importance","node_role","created_dt"
6301,Naomi Costa,Person,Tundra,0.680,Launderer,2024-04-26
5628,Acct #5628,Account,Mirage,0.130,Checking,2023-05-17
61,Mateus Nilsson,Person,Hydra,0.210,Mule,2024-03-22
8646,Mateus Petrov,Person,Onyx,0.150,Mule,2024-04-06
734,Northstar Group Group,Business,Hydra,0.600,Shell Company,2024-05-14
3079,Acct #3079,Account,Specter,0.120,Foreign,2024-02-12
9584,Akiko Kowalski,Person,Krypton,0.230,Mule,2023-09-16
6097,Ravi Volkov,Person,Tundra,0.230,Mule,2023-04-18
4221,Crest Logistics GmbH,Business,Vortex,0.610,Front Business,2023-01-16
9115,Acct #9115,Account,Onyx,0.190,Foreign,2023-12-04
10053,Acct #10053,Account,Krypton,0.430,Brokerage,2023-11-17
530,Acct #530,Account,Hydra,0.130,Crypto,2023-02-05
1672,Continental Global GmbH,Business,Tempest,0.670,Front Business,2024-02-22
3548,Ingrid Anderson,Person,Vortex,0.210,Mule,2024-01-11
7504,Acct #7504,Account,Cobalt,0.400,Crypto,2023-12-04
6566,Acct #6566,Account,Tundra,0.220,Prepaid,2024-03-18
10257,SIM Card #10257,Device,Krypton,0.470,SIM Card,2023-12-22
1937,Ava Iqbal,Person,Phoenix,0.190,Mule,2023-06-17
4955,Acct #4955,Account,Cipher,0.340,Crypto,2024-03-24
4017,Acct #4017,Account,Vortex,0.270,Crypto,2023-05-21
8177,Acct #8177,Account,Orchid,0.480,Savings,2023-09-02
10522,Yuki Singh,Person,Krypton,0.040,Victim,2023-06-06
7973,Nadia Suzuki,Person,Orchid,0.190,Mule,2024-05-24
1468,Acct #1468,Account,Tempest,0.420,Crypto,2024-05-14
999,Hassan Hossain,Person,Tempest,0.130,Mule,2024-03-23
5424,Noah Mehta,Person,Mirage,0.220,Mule,2023-07-10
2875,Natasha Eriksson,Person,Specter,0.690,Launderer,2023-07-13
4486,Mateus Mehta,Person,Cipher,0.220,Mule,2024-03-13
7035,Ingrid Martinez,Person,Cobalt,0.190,Mule,2023-04-18
3344,Cobalt International Corp,Business,Specter,0.450,Shell Company,2023-06-03
326,Anya Rahman,Person,Hydra,0.640,Launderer,2023-03-07
8911,Olivia Hernandez,Person,Onyx,0.420,Phishing Operator,2023-02-01
2406,Granite Realty GmbH,Business,Phoenix,0.460,Shell Company,2024-01-12
9380,Solstice Consultants LLC,Business,Onyx,0.520,Front Business,2023-04-07
795,Ironside Group LLC,Business,Hydra,0.690,Front Business,2023-06-23
6831,Burner Phone #6831,Device,Tundra,0.420,Burner Phone,2023-10-13
8442,Pioneer Technologies SA,Business,Orchid,0.480,Shell Company,2023-05-03
9849,Acct #9849,Account,Krypton,0.480,Checking,2023-02-15
10318,Cillian Stern,Person,Orchid,0.020,Victim,2023-07-16
4282,David Mehta,Person,Cipher,0.720,Lieutenant,2024-05-11
5893,Nebula Partners AG,Business,Mirage,0.680,Shell Company,2024-01-28
7300,Acct #7300,Account,Cobalt,0.240,Brokerage,2023-02-13
8238,Acct #8238,Account,Orchid,0.400,Brokerage,2023-10-24
1733,Ava Kowalski,Person,Phoenix,0.610,Recruiter,2023-01-02
6362,Acct #6362,Account,Tundra,0.300,Checking,2023-11-27
7769,Liam Volkov,Person,Orchid,0.250,Mule,2023-08-09
5689,Acct #5689,Account,Mirage,0.490,Brokerage,2024-02-21
4751,Acct #4751,Account,Cipher,0.430,Checking,2024-02-19
3813,Acct #3813,Account,Vortex,0.220,Brokerage,2024-05-23
122,Yuki Lee,Person,Hydra,0.220,Mule,2023-01-22
6158,Ekaterina Bauer,Person,Tundra,0.100,Mule,2024-01-26
2202,Acct #2202,Account,Phoenix,0.420,Crypto,2023-10-28
1264,Acct #1264,Account,Tempest,0.290,Brokerage,2023-11-16
591,Acct #591,Account,Hydra,0.470,Brokerage,2023-12-05
9176,Acct #9176,Account,Onyx,0.340,Brokerage,2023-11-23
2671,Anton Doyle,Person,Specter,0.210,Mule,2023-04-24
5220,Yuki Rossi,Person,Mirage,0.100,Mule,2023-04-17
3609,Owen Huang,Person,Vortex,0.110,Mule,2024-05-16
1060,Camila Hossain,Person,Tempest,0.090,Mule,2024-02-11
10114,Echo International Co,Business,Krypton,0.630,Shell Company,2023-02-04
8707,Omar Torres,Person,Onyx,0.240,Mule,2024-02-23
1529,Acct #1529,Account,Tempest,0.150,Foreign,2023-03-14
9645,Olivia Singh,Person,Krypton,0.220,Mule,2023-07-09
5016,Redwood Realty LLC,Business,Cipher,0.480,Shell Company,2023-08-01
3140,Acct #3140,Account,Specter,0.310,Prepaid,2023-08-12
7565,Vertex Realty SA,Business,Cobalt,0.430,Shell Company,2024-01-05
7096,Noah Verma,Person,Cobalt,0.080,Mule,2024-01-20
8503,Solstice Equity LLC,Business,Orchid,0.600,Front Business,2023-12-23
6627,Acct #6627,Account,Tundra,0.470,Crypto,2024-03-06
8034,Fatima Bose,Person,Orchid,0.740,Launderer,2024-02-25
4547,Mateus O'Brien,Person,Cipher,0.240,Mule,2024-05-14
2936,Acct #2936,Account,Specter,0.440,Checking,2024-03-16
4078,Acct #4078,Account,Vortex,0.100,Checking,2023-09-29
5485,Anya Lindqvist,Person,Mirage,0.590,Identity Thief,2023-06-07
2467,Sterling Logistics SA,Business,Phoenix,0.480,Shell Company,2023-01-19
8972,Acct #8972,Account,Onyx,0.250,Crypto,2023-06-05
1998,Pooja Sokolov,Person,Phoenix,0.050,Mule,2023-04-13
5954,Granite Holdings Corp,Business,Mirage,0.740,Front Business,2023-07-06
9910,Acct #9910,Account,Krypton,0.450,Brokerage,2023-08-15
6423,Acct #6423,Account,Tundra,0.380,Brokerage,2023-05-17
10583,Joao Le,Person,Unaffiliated,0.250,Unaffiliated,2023-09-26
387,Acct #387,Account,Hydra,0.480,Checking,2024-04-17
7361,Acct #7361,Account,Cobalt,0.290,Brokerage,2023-02-23
3874,Acct #3874,Account,Vortex,0.140,Checking,2023-06-11
3405,Phone #3405,Device,Specter,0.400,Phone,2024-04-23
856,SIM Card #856,Device,Hydra,0.470,SIM Card,2024-03-11
10379,Mateus Nakamura,Person,Cipher,0.070,Victim,2023-03-12
1794,Nadia Pham,Person,Phoenix,0.170,Mule,2023-08-10
9441,Valentina Bergman,Person,Krypton,0.530,Recruiter,2023-10-09
7830,Asher Nilsson,Person,Orchid,0.100,Mule,2023-12-08
5281,Svetlana Walsh,Person,Mirage,0.060,Mule,2024-03-16
9237,Beacon Partners Inc,Business,Onyx,0.610,Shell Company,2023-07-13
6892,Sarah Friedman,Person,Cobalt,0.140,Mule,2024-04-15
5750,Acct #5750,Account,Mirage,0.330,Foreign,2024-03-31
2732,Ekaterina Choi,Person,Specter,0.170,Mule,2024-05-06
6688,Coral Realty AG,Business,Tundra,0.650,Shell Company,2023-04-07
1325,Acct #1325,Account,Tempest,0.290,Checking,2023-02-10
6219,Anton Garcia,Person,Tundra,0.240,Mule,2023-03-10
183,Ethan Andersson,Person,Hydra,0.220,Mule,2023-04-06
4139,Quartz Solutions Group,Business,Vortex,0.450,Shell Company,2024-05-05
4343,David Friedman,Person,Cipher,0.080,Mule,2023-10-01
9706,Kavya Vo,Person,Krypton,0.190,Mule,2024-04-19
3201,Acct #3201,Account,Specter,0.120,Crypto,2023-08-20
7157,Arjun Akhtar,Person,Cobalt,0.780,Launderer,2024-05-12
4812,Acct #4812,Account,Cipher,0.480,Checking,2024-04-24
2528,Cobalt Imports Group,Business,Phoenix,0.640,Front Business,2023-01-03
652,Acct #652,Account,Hydra,0.320,Savings,2024-03-21
4608,Zara Schneider,Person,Cipher,0.600,Launderer,2024-03-01
2263,Acct #2263,Account,Phoenix,0.390,Brokerage,2023-08-10
6015,Camila Schmidt,Person,Tundra,0.570,Recruiter,2023-04-05
1121,Erik Nakamura,Person,Tempest,0.140,Mule,2024-01-19
2059,Vikram Anderson,Person,Phoenix,0.600,Hacker,2023-08-03
8299,Acct #8299,Account,Orchid,0.460,Savings,2023-12-18
448,Acct #448,Account,Hydra,0.150,Crypto,2024-03-06
10175,Pacific Technologies Corp,Business,Krypton,0.700,Shell Company,2024-05-05
5077,Meridian Worldwide Co,Business,Cipher,0.510,Front Business,2023-06-23
8768,Eli Weber,Person,Onyx,0.220,Mule,2023-02-15
3935,Acct #3935,Account,Vortex,0.130,Foreign,2023-11-14
10644,Ezra O'Connor,Person,Unaffiliated,0.100,Unaffiliated,2023-01-29
9502,Camila Lindberg,Person,Krypton,0.070,Mule,2023-06-05
3670,David Hernandez,Person,Vortex,0.180,Mule,2023-10-20
9971,Acct #9971,Account,Krypton,0.130,Foreign,2023-09-02
8095,Acct #8095,Account,Orchid,0.250,Brokerage,2024-04-18
7422,Acct #7422,Account,Cobalt,0.310,Crypto,2024-02-17
1590,Phoenix Express Ltd,Business,Tempest,0.690,Shell Company,2023-05-31
10440,Cheng O'Connor,Person,Vortex,0.090,Victim,2023-10-17
5546,Acct #5546,Account,Mirage,0.420,Crypto,2023-03-25
4873,Acct #4873,Account,Cipher,0.250,Foreign,2023-08-04
7626,Granite Ventures Inc,Business,Cobalt,0.710,Front Business,2023-06-30
7891,Erik Watanabe,Person,Orchid,0.200,Mule,2024-02-12
8564,Lily Martinez,Person,Onyx,0.840,Lieutenant,2023-10-28
2324,Acct #2324,Account,Phoenix,0.260,Brokerage,2024-03-09
9033,Acct #9033,Account,Onyx,0.200,Brokerage,2023-10-07
8360,Acct #8360,Account,Orchid,0.460,Brokerage,2023-05-22
2997,Acct #2997,Account,Specter,0.380,Brokerage,2023-06-10
5342,Jamal Zhang,Person,Mirage,0.230,Mule,2024-05-26
6484,Acct #6484,Account,Tundra,0.330,Crypto,2023-02-11
2793,Tomas Lopez,Person,Specter,0.090,Mule,2023-11-21
3466,Nina Akhtar,Person,Vortex,0.210,Mule,2023-01-29
244,Kamal Larsson,Person,Hydra,0.250,Mule,2024-04-29
4404,Nadia Patel,Person,Cipher,0.230,Mule,2023-06-16
3262,Redwood Express Group,Business,Specter,0.460,Shell Company,2023-05-28
917,Leo Torres,Person,Tempest,0.240,Mule,2023-04-19
6280,Layla Reddy,Person,Tundra,0.200,Mule,2023-07-05
1855,Kavya Byrne,Person,Phoenix,0.220,Mule,2023-08-07
713,Meridian Realty Inc,Business,Hydra,0.550,Shell Company,2023-12-15
6953,James Iqbal,Person,Cobalt,0.090,Mule,2024-01-03
9094,Acct #9094,Account,Onyx,0.230,Prepaid,2023-12-08
5811,Acct #5811,Account,Mirage,0.210,Crypto,2023-12-25
1182,Diego Kim,Person,Tempest,0.670,Launderer,2023-08-24
1386,Acct #1386,Account,Tempest,0.310,Foreign,2023-09-08
3527,Wei Torres,Person,Vortex,0.220,Mule,2023-08-16
9298,Cypress Services SA,Business,Onyx,0.610,Shell Company,2023-02-12
4200,Vertex Consultants Group,Business,Vortex,0.410,Shell Company,2023-09-29
8829,Kamal Cohen,Person,Onyx,0.200,Mule,2023-04-11
6545,Acct #6545,Account,Tundra,0.110,Savings,2023-11-27
3731,Anjali Nguyen,Person,Vortex,0.640,Launderer,2023-02-16
10236,Aurora Solutions Inc,Business,Krypton,0.740,Front Business,2024-05-15
9767,Joao Larsson,Person,Krypton,0.470,Identity Thief,2023-06-24
9563,Sigrid Patel,Person,Krypton,0.120,Mule,2023-05-14
6749,Verdant Enterprises Co,Business,Tundra,0.580,Shell Company,2023-06-01
8156,Acct #8156,Account,Orchid,0.360,Checking,2023-02-01
1651,Verdant Exports AG,Business,Tempest,0.550,Front Business,2023-01-08
7014,Pavel Flores,Person,Cobalt,0.220,Mule,2023-02-22
7218,Acct #7218,Account,Cobalt,0.490,Prepaid,2024-03-02
8625,Pooja Schmidt,Person,Onyx,0.100,Mule,2024-03-03
7687,Burner Phone #7687,Device,Cobalt,0.440,Burner Phone,2023-03-29
4465,Rohan Zhang,Person,Cipher,0.190,Mule,2023-04-18
4669,Acct #4669,Account,Cipher,0.370,Brokerage,2024-01-12
978,Carlos Ivanov,Person,Tempest,0.160,Mule,2023-03-16
5138,Ingrid Petrov,Person,Mirage,0.710,Lieutenant,2023-09-17
1916,Cillian Petrov,Person,Phoenix,0.230,Mule,2023-08-12
2120,Acct #2120,Account,Phoenix,0.360,Foreign,2023-03-02
1447,Acct #1447,Account,Tempest,0.440,Savings,2023-07-01
2589,Sofia Nakamura,Person,Specter,0.630,Recruiter,2023-03-14
2385,Acct #2385,Account,Phoenix,0.250,Foreign,2023-02-04
40,Sophia Takahashi,Person,Hydra,0.070,Mule,2023-07-10
4934,Acct #4934,Account,Cipher,0.190,Savings,2024-02-25
5607,Acct #5607,Account,Mirage,0.220,Brokerage,2024-04-09
305,Elena Friedman,Person,Hydra,0.180,Mule,2023-04-02
6076,Henrik Cohen,Person,Tundra,0.230,Mule,2023-03-05
8421,Sterling Wholesale AG,Business,Orchid,0.450,Shell Company,2023-02-19
3058,Acct #3058,Account,Specter,0.370,Foreign,2023-08-22
9359,Verdant Express SA,Business,Onyx,0.560,Front Business,2023-12-06
3996,Acct #3996,Account,Vortex,0.320,Crypto,2023-06-04
6341,Aaron Choi,Person,Tundra,0.590,Identity Thief,2024-03-22
509,Acct #509,Account,Hydra,0.330,Brokerage,2024-05-23
9828,Acct #9828,Account,Krypton,0.200,Brokerage,2023-06-12
7483,Acct #7483,Account,Cobalt,0.380,Prepaid,2023-04-26
6810,Phoenix Wholesale Co,Business,Tundra,0.570,Front Business,2023-11-10
10032,Acct #10032,Account,Krypton,0.280,Brokerage,2023-09-06
7279,Acct #7279,Account,Cobalt,0.400,Prepaid,2023-12-08
2854,Ava Tanaka,Person,Specter,0.150,Mule,2023-09-06
1243,Acct #1243,Account,Tempest,0.420,Foreign,2024-05-26
10501,Sergei Murphy,Person,Krypton,0.080,Victim,2023-08-01
4730,Acct #4730,Account,Cipher,0.420,Checking,2023-12-15
8890,Ava Rosenberg,Person,Onyx,0.750,Launderer,2024-03-11
10297,Bo Jung,Person,Vortex,0.070,Victim,2024-01-20
7952,Daniel Kapoor,Person,Orchid,0.140,Mule,2024-02-21
7748,Aaron Ivanov,Person,Orchid,0.180,Mule,2023-03-17
4261,Tablet #4261,Device,Vortex,0.400,Tablet,2023-12-27
5199,Amelia Hashimoto,Person,Mirage,0.090,Mule,2023-05-23
5403,Astrid Pham,Person,Mirage,0.160,Mule,2023-07-17
2650,Bo Klein,Person,Specter,0.150,Mule,2024-04-03
1712,SIM Card #1712,Device,Tempest,0.470,SIM Card,2023-08-30
5668,Acct #5668,Account,Mirage,0.320,Savings,2023-11-26
5872,Nexus Wholesale Inc,Business,Mirage,0.450,Shell Company,2023-04-30
101,Aaron Wu,Person,Hydra,0.200,Mule,2024-05-02
2181,Acct #2181,Account,Phoenix,0.350,Crypto,2023-07-17
8686,Niamh Lindqvist,Person,Onyx,0.070,Mule,2023-01-23
3323,Cobalt Services Ltd,Business,Specter,0.450,Shell Company,2023-11-02
570,Acct #570,Account,Hydra,0.150,Savings,2023-07-25
8217,Acct #8217,Account,Orchid,0.170,Brokerage,2024-05-02
3119,Acct #3119,Account,Specter,0.220,Brokerage,2023-12-06
774,Summit Holdings Ltd,Business,Hydra,0.600,Shell Company,2023-03-23
8013,Ahmed Andersson,Person,Orchid,0.700,Launderer,2024-01-04
9155,Acct #9155,Account,Onyx,0.360,Savings,2024-01-14
3588,Raj Pham,Person,Vortex,0.190,Mule,2023-01-08
3792,Acct #3792,Account,Vortex,0.470,Checking,2023-10-19
5933,Quantum Imports Ltd,Business,Mirage,0.540,Front Business,2023-04-18
1039,Kenji Zhao,Person,Tempest,0.250,Mule,2024-04-17
6606,Acct #6606,Account,Tundra,0.450,Prepaid,2023-04-24
6137,Anton Mori,Person,Tundra,0.070,Mule,2023-07-16
8951,Acct #8951,Account,Onyx,0.490,Crypto,2024-01-26
9624,Jamal Hussain,Person,Krypton,0.070,Mule,2023-07-26
10562,Omar Cohen,Person,Unaffiliated,0.290,Unaffiliated,2023-07-25
4057,Acct #4057,Account,Vortex,0.190,Foreign,2024-02-10
835,Burner Phone #835,Device,Hydra,0.500,Burner Phone,2024-02-28
7075,Lin Kowalski,Person,Cobalt,0.190,Mule,2024-04-20
3384,Crest Imports AG,Business,Specter,0.670,Front Business,2023-09-19
1508,Acct #1508,Account,Tempest,0.140,Checking,2023-11-14
9420,Wei Cohen,Person,Krypton,0.660,Lieutenant,2024-06-01
4526,Svetlana Weber,Person,Cipher,0.220,Mule,2023-01-05
3853,Acct #3853,Account,Vortex,0.480,Foreign,2023-05-17
10093,Granite Ventures GmbH,Business,Krypton,0.440,Shell Company,2023-10-13
6871,Kavya Sato,Person,Cobalt,0.590,Recruiter,2023-05-08
2446,Ironside Global AG,Business,Phoenix,0.490,Shell Company,2023-05-19
1304,Acct #1304,Account,Tempest,0.230,Brokerage,2023-02-25
7544,Quartz Ventures AG,Business,Cobalt,0.490,Shell Company,2023-05-18
4322,Larissa Watanabe,Person,Cipher,0.160,Mule,2023-06-27
8482,Sterling International Group,Business,Orchid,0.650,Front Business,2023-10-02
1773,Ekaterina Sharma,Person,Phoenix,0.190,Mule,2024-01-19
1977,Erik Stern,Person,Phoenix,0.210,Mule,2023-05-02
4791,Acct #4791,Account,Cipher,0.180,Prepaid,2024-02-03
6402,Acct #6402,Account,Tundra,0.260,Savings,2023-05-14
8747,Sigrid Friedman,Person,Onyx,0.190,Mule,2023-02-18
4995,Opal Exports Co,Business,Cipher,0.520,Shell Company,2023-10-02
2242,Acct #2242,Account,Phoenix,0.120,Crypto,2023-04-29
9889,Acct #9889,Account,Krypton,0.160,Checking,2024-05-30
9216,Acct #9216,Account,Onyx,0.400,Prepaid,2023-12-31
5464,Ahmed Torres,Person,Mirage,0.600,Launderer,2024-01-18
9685,Arjun Singh,Person,Krypton,0.070,Mule,2024-02-22
7340,Acct #7340,Account,Cobalt,0.430,Crypto,2023-11-08
3649,Carlos Sanchez,Person,Vortex,0.150,Mule,2024-01-11
2915,Aaron Reyes,Person,Specter,0.570,Phishing Operator,2023-11-29
7136,Camila Nguyen,Person,Cobalt,0.230,Mule,2023-08-29
5260,David Suzuki,Person,Mirage,0.050,Mule,2023-01-19
1569,Cypress Investments SA,Business,Tempest,0.450,Shell Company,2023-11-22
366,Acct #366,Account,Hydra,0.160,Crypto,2023-09-04
10154,Onyx Capital Corp,Business,Krypton,0.570,Shell Company,2023-11-25
2711,Diego Martinez,Person,Specter,0.110,Mule,2023-05-12
7605,Continental Capital AG,Business,Cobalt,0.660,Shell Company,2024-01-19
10358,Hannah Goldberg,Person,Vortex,0.060,Victim,2024-04-16
5056,Apex Wholesale Inc,Business,Cipher,0.580,Shell Company,2023-05-28
162,Emily Banerjee,Person,Hydra,0.230,Mule,2023-12-02
2038,Sergei O'Connor,Person,Phoenix,0.730,Launderer,2023-08-12
7809,Kamal Choi,Person,Orchid,0.250,Mule,2023-08-12
2507,Sterling Express AG,Business,Phoenix,0.650,Front Business,2024-03-15
631,Acct #631,Account,Hydra,0.210,Savings,2023-06-14
8074,Acct #8074,Account,Orchid,0.240,Checking,2024-03-14
8278,Acct #8278,Account,Orchid,0.110,Checking,2023-04-04
2976,Acct #2976,Account,Specter,0.410,Prepaid,2024-02-18
6667,Acct #6667,Account,Tundra,0.180,Crypto,2023-05-31
5525,Acct #5525,Account,Mirage,0.310,Foreign,2023-07-06
5729,Acct #5729,Account,Mirage,0.470,Brokerage,2024-03-24
427,Acct #427,Account,Hydra,0.350,Checking,2023-04-06
4118,Vanguard Group Corp,Business,Vortex,0.560,Shell Company,2024-03-25
9012,Acct #9012,Account,Onyx,0.250,Prepaid,2024-05-10
3180,Acct #3180,Account,Specter,0.360,Brokerage,2023-01-27
896,Mateus Vo,Person,Tempest,0.130,Mule,2023-11-24
4587,Hiroshi Nguyen,Person,Cipher,0.650,Launderer,2023-10-05
1834,Henry Sanchez,Person,Phoenix,0.050,Mule,2023-10-10
6198,Cillian Akhtar,Person,Tundra,0.240,Mule,2024-03-09
10419,Nadia Sato,Person,Onyx,0.110,Victim,2023-12-23
10623,David Romano,Person,Unaffiliated,0.210,Unaffiliated,2023-11-04
5790,Acct #5790,Account,Mirage,0.330,Crypto,2023-05-03
1100,Tomas Schneider,Person,Tempest,0.150,Mule,2024-05-22
7870,Liam Takahashi,Person,Orchid,0.180,Mule,2023-10-06
3445,Beatriz Sato,Person,Vortex,0.520,Recruiter,2024-01-31
6259,Olivia Olsson,Person,Tundra,0.120,Mule,2023-04-01
8543,Tablet #8543,Device,Orchid,0.300,Tablet,2024-02-29
5321,Yuki Petrov,Person,Mirage,0.080,Mule,2023-10-28
9481,Saoirse Nakamura,Person,Krypton,0.080,Mule,2023-01-26
3710,Asher Sanchez,Person,Vortex,0.220,Mule,2023-12-17
5994,Dmitri Khan,Person,Tundra,0.680,Lieutenant,2023-04-16
8339,Acct #8339,Account,Orchid,0.200,Crypto,2023-11-23
6932,Vikram Lopez,Person,Cobalt,0.090,Mule,2023-04-04
4179,Granite International Group,Business,Vortex,0.590,Shell Company,2024-03-23
6463,Acct #6463,Account,Tundra,0.340,Checking,2023-05-22
3241,Acct #3241,Account,Specter,0.490,Brokerage,2024-03-01
4852,Acct #4852,Account,Cipher,0.430,Prepaid,2023-01-24
7197,Erik Wang,Person,Cobalt,0.420,Money Mule Coordinator,2023-03-09
3914,Acct #3914,Account,Vortex,0.380,Foreign,2023-04-20
692,Continental Properties Corp,Business,Hydra,0.590,Shell Company,2023-09-28
2303,Acct #2303,Account,Phoenix,0.210,Prepaid,2024-01-18
19,Sigrid Park,Person,Hydra,0.570,Recruiter,2023-10-28
1365,Acct #1365,Account,Tempest,0.500,Foreign,2024-01-30
9277,Azure Logistics SA,Business,Onyx,0.410,Shell Company,2023-05-31
223,Lily Tran,Person,Hydra,0.200,Mule,2023-06-19
6055,Aoife Lee,Person,Tundra,0.080,Mule,2023-10-18
9950,Acct #9950,Account,Krypton,0.210,Crypto,2024-02-03
6728,Crown Group SA,Business,Tundra,0.590,Shell Company,2024-02-26
8808,Andre Rossi,Person,Onyx,0.160,Mule,2023-11-29
6524,Acct #6524,Account,Tundra,0.250,Foreign,2023-01-29
4383,Arjun Patel,Person,Cipher,0.150,Mule,2024-05-05
1161,Aisha Novak,Person,Tempest,0.140,Mule,2023-01-18
9746,Khalil Lindberg,Person,Krypton,0.730,Launderer,2023-11-06
3975,Acct #3975,Account,Vortex,0.150,Prepaid,2023-06-21
7401,Acct #7401,Account,Cobalt,0.110,Crypto,2024-05-23
2099,Acct #2099,Account,Phoenix,0.160,Crypto,2024-03-05
1630,Equinox Worldwide Ltd,Business,Tempest,0.640,Shell Company,2023-09-13
10011,Acct #10011,Account,Krypton,0.370,Crypto,2023-05-08
2772,Ravi Mehta,Person,Specter,0.210,Mule,2023-04-14
9542,Lucas Romano,Person,Krypton,0.250,Mule,2024-01-20
7666,Nexus Solutions LLC,Business,Cobalt,0.540,Front Business,2023-12-28
4444,Owen Hussain,Person,Cipher,0.070,Mule,2024-04-02
10215,Atlantic Global LLC,Business,Krypton,0.700,Front Business,2023-07-17
7462,Acct #7462,Account,Cobalt,0.490,Crypto,2023-08-25
5117,Tablet #5117,Device,Cipher,0.200,Tablet,2023-06-16
7931,Mei O'Connor,Person,Orchid,0.170,Mule,2023-06-13
4648,Acct #4648,Account,Cipher,0.500,Savings,2023-08-17
4913,Acct #4913,Account,Cipher,0.130,Savings,2024-05-28
2568,SIM Card #2568,Device,Phoenix,0.390,SIM Card,2023-02-24
753,Phoenix Imports GmbH,Business,Hydra,0.620,Shell Company,2023-08-27
8135,Acct #8135,Account,Orchid,0.190,Prepaid,2024-01-11
2364,Acct #2364,Account,Phoenix,0.290,Savings,2024-02-02
3037,Acct #3037,Account,Specter,0.380,Prepaid,2023-07-12
4240,Harbor Exports GmbH,Business,Vortex,0.560,Front Business,2023-05-01
5586,Acct #5586,Account,Mirage,0.280,Foreign,2024-02-26
5382,Yara Dubois,Person,Mirage,0.210,Mule,2024-03-04
488,Acct #488,Account,Hydra,0.470,Savings,2024-03-19
2160,Acct #2160,Account,Phoenix,0.390,Brokerage,2023-06-01
8604,Beatriz Cohen,Person,Onyx,0.220,Mule,2023-12-09
2833,Svetlana Kowalski,Person,Specter,0.210,Mule,2023-11-06
9073,Acct #9073,Account,Onyx,0.410,Brokerage,2023-01-19
8196,Acct #8196,Account,Orchid,0.430,Savings,2023-01-28
3506,Henry Kobayashi,Person,Vortex,0.240,Mule,2024-04-13
284,Daniel Murphy,Person,Hydra,0.130,Mule,2023-12-14
6993,Finn Schneider,Person,Cobalt,0.160,Mule,2023-04-01
2629,Liam Weber,Person,Specter,0.200,Mule,2023-08-09
957,Liam Ryan,Person,Tempest,0.180,Mule,2023-07-19
9807,Acct #9807,Account,Krypton,0.180,Savings,2024-05-05
1895,James Olsson,Person,Phoenix,0.100,Mule,2023-11-19
8665,Klara Yamamoto,Person,Onyx,0.120,Mule,2024-01-15
1426,Acct #1426,Account,Tempest,0.490,Checking,2023-04-26
10276,Nina Liu,Person,Phoenix,0.110,Victim,2024-05-12
